15
3	4	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	2	-1
4	-1	-1	-1	6	4	-1	-1	5	-1	-1	4	-1	5	4
4	-1	8	6	-1	-1	-1	-1	5	7	-1	3	-1	4	-1
-1	5	7	6	5	-1	-1	5	5	8	5	-1	5	-1	-1
3	5	-1	7	7	-1	4	-1	-1	7	-1	6	5	4	-1
3	6	-1	-1	4	-1	-1	6	5	-1	-1	-1	-1	-1	3
4	-1	7	5	5	5	7	-1	-1	-1	-1	-1	-1	3	-1
4	-1	6	4	5	-1	-1	-1	-1	3	-1	2	-1	4	-1
-1	4	-1	-1	-1	5	-1	-1	-1	-1	5	-1	2	4	4
4	-1	6	-1	-1	6	-1	-1	4	-1	3	1	-1	-1	-1
3	6	-1	7	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	4
-1	-1	-1	6	-1	6	6	8	7	5	2	-1	3	-1	-1
2	3	4	-1	4	4	4	6	-1	6	-1	-1	3	-1	2
-1	3	-1	-1	4	5	4	6	5	6	3	-1	2	4	-1
1	2	-1	-1	-1	3	-1	-1	-1	3	-1	2	2	3	-1

